latitude,longitude,sst_mean,salinity_mean,depth_m,prob_presence
30.0,135.321608040201,23.49755876272054,34.565785348983745,10,0.0
30.0,135.4070351758794,23.50056179166021,34.565785348983745,10,0.0
30.0,135.4924623115578,23.502922241327234,34.565785348983745,10,0.0
30.0,135.57788944723617,23.51004232210004,34.565785348983745,10,0.0
30.0,135.66331658291458,23.51932730837738,34.565785348983745,10,0.0
30.0,135.74874371859298,23.525317852224685,34.565785348983745,10,0.0
30.0,135.83417085427135,23.535750700400484,34.565785348983745,10,0.0
30.0,135.91959798994975,23.542472980486462,34.565785348983745,10,0.0
30.0,136.00502512562815,23.544040716982515,34.565785348983745,10,0.0
30.0,136.09045226130652,23.54445156916987,34.565785348983745,10,0.0
30.0,136.17587939698493,23.54272337127228,34.565785348983745,10,0.0
