scientificName,decimalLatitude,decimalLongitude,eventDate,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,basisOfRecord,sst_mean,salinity_mean,depth_m,presence
Saccharina angustata,42.3,140.98,1963-03-09,,,,PreservedSpecimen,11.638448386042969,32.73626672939781,,1
Undaria pinnatifida f. pinnatifida,43.93,141.62,1997-06-19,,,,PreservedSpecimen,11.686833892574652,32.94212140225492,,1
Costaria costata,43.93,141.62,1997-06-19,,,,PreservedSpecimen,11.686833892574652,32.94212140225492,,1
Saccharina japonica var. religiosa,43.93,141.62,1997-09-23,,,,PreservedSpecimen,11.686833892574652,32.94212140225492,,1
Costaria costata,43.38,145.82,1988-04-14,,,,PreservedSpecimen,7.764268644476999,32.25890120749487,,1
Costaria costata,43.38,145.82,1988-08-10,,,,PreservedSpecimen,7.764268644476999,32.25890120749487,,1
Costaria costata,43.22,145.58,2000-07-25,,,,PreservedSpecimen,7.694466828174424,32.32744444972823,,1
Costaria costata,43.22,145.58,2000-07-25,,,,PreservedSpecimen,7.694466828174424,32.32744444972823,,1
Saccharina japonica var. japonica,43.2,140.85,1999-05-11,,,,PreservedSpecimen,12.378572558240297,33.64754763772097,,1
Saccharina coriacea,43.02,144.83,1930-08,,,,PreservedSpecimen,8.09249931573474,32.393234908626575,,1
Undaria pinnatifida f. pinnatifida,43.2,140.88,1997-05-03,,,,PreservedSpecimen,12.378572558240297,33.64754763772097,,1
Undaria pinnatifida f. pinnatifida,41.73,141.07,1998-04-20,,,,PreservedSpecimen,14.205919892232677,33.59636455370649,,1
Saccharina japonica var. japonica,41.73,141.07,1998-05-15,,,,PreservedSpecimen,14.205919892232677,33.59636455370649,,1
Saccharina angustata,42.28,142.45,1997-03-15,,,,PreservedSpecimen,10.770419215338231,32.7725857081598,,1
Saccharina angustata,42.28,142.45,1996-11-03,,,,PreservedSpecimen,10.770419215338231,32.7725857081598,,1
Costaria costata,42.28,142.45,1996-06-22,,,,PreservedSpecimen,10.770419215338231,32.7725857081598,,1
Saccharina coriacea,42.98,144.87,1930-08,,,,PreservedSpecimen,8.02495580721897,32.39686682441287,,1
Saccharina coriacea,42.98,144.87,1930-08,,,,PreservedSpecimen,8.02495580721897,32.39686682441287,,1
Saccharina coriacea,42.98,144.87,1930-08,,,,PreservedSpecimen,8.02495580721897,32.39686682441287,,1
Costaria costata,42.3,140.97,1999-05-08,,,,PreservedSpecimen,11.638448386042969,32.73626672939781,,1
Costaria costata,42.98,144.87,1930-08,,,,PreservedSpecimen,8.02495580721897,32.39686682441287,,1
Saccharina japonica var. religiosa,43.2,140.88,1997-04-27,,,,PreservedSpecimen,12.378572558240297,33.64754763772097,,1
