scientificName,decimalLatitude,decimalLongitude,eventDate,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,basisOfRecord,sst_mean,salinity_mean
Undaria pinnatifida f. pinnatifida,44.4,141.3,1981-07-29,,,,PreservedSpecimen,,
Saccharina japonica var. ochotensis,44.43,141.32,1982-02-13,,,,PreservedSpecimen,,
Saccharina japonica var. religiosa,44.4,141.28,1981-07-30,,,,PreservedSpecimen,11.458959367421643,33.62328494166043
Saccharina japonica var. religiosa,44.4,141.3,1982-05-11,,,,PreservedSpecimen,,
Costaria costata,43.83,141.48,1981-06-12,,,,PreservedSpecimen,,
Saccharina angustata,42.22,143.32,1975-12-20,,,,PreservedSpecimen,8.643945452363011,32.351721760480665
Costaria costata,42.22,143.32,1975-12-20,,,,PreservedSpecimen,8.643945452363011,32.351721760480665
Costaria costata,45.17,141.12,1934-08,,,,PreservedSpecimen,10.667845699350964,33.50461429924039
Undaria pinnatifida f. pinnatifida,44.13,141.65,1943-06,,,,PreservedSpecimen,11.707151072258878,33.21090610591965
Saccharina japonica var. japonica,41.35,139.8,1946-09-08,,,,PreservedSpecimen,15.14142375179746,33.85162521454273
Costaria costata,42.12,142.92,1975-07-24,,,,PreservedSpecimen,,
Costaria costata,41.93,143.22,1975-07-25,,,,PreservedSpecimen,9.318203531044967,32.51204879126048
Saccharina japonica var. religiosa,43.22,140.32,1985-08-10,,,,PreservedSpecimen,12.717655896642325,33.82329589354379
Costaria costata,43.33,140.45,1984-06-07,,,,PreservedSpecimen,,
Costaria costata,43.05,140.48,1984-04-15,,,,PreservedSpecimen,12.774454927841068,33.83703278542222
Undaria pinnatifida f. pinnatifida,43.05,140.48,1984-05-18,,,,PreservedSpecimen,12.774454927841068,33.83703278542222
Undaria pinnatifida f. pinnatifida,42.57,140.58,1985-07-04,,,,PreservedSpecimen,,
Eisenia bicyclis,37.08,140.98,1965-05,,,,PreservedSpecimen,,
Saccharina coriacea,43.28,145.67,1987-04-15,,,,PreservedSpecimen,7.660193858974548,32.32732051462417
Undaria pinnatifida f. pinnatifida,41.12,140.77,1988-01-18,,,,PreservedSpecimen,15.040989749216234,33.4462956845593
Costaria costata,41.47,141.08,1988-01-20,,,,PreservedSpecimen,,
Undaria pinnatifida f. pinnatifida,41.5,140.9,1987-08-08,,,,PreservedSpecimen,15.895514054164638,33.679819241869396
Saccharina japonica var. religiosa,41.5,140.9,1987-10-23,,,,PreservedSpecimen,15.895514054164638,33.679819241869396
Costaria costata,41.5,140.9,1987-04-14,,,,PreservedSpecimen,15.895514054164638,33.679819241869396
Undaria pinnatifida f. pinnatifida,41.5,140.9,1988-01-20,,,,PreservedSpecimen,15.895514054164638,33.679819241869396
Undaria pinnatifida f. pinnatifida,39.35,141.92,1979-05-28,,,,PreservedSpecimen,,
Costaria costata,39.35,141.92,1979-05-28,,,,PreservedSpecimen,,
Costaria costata,41.93,140.93,1968-06-14,,,,PreservedSpecimen,,
Saccharina japonica var. religiosa,41.47,140.02,1989-03-08,,,,PreservedSpecimen,14.053954559419472,33.86837035322505
Saccharina japonica var. religiosa,41.35,139.8,1988-08-23,,,,PreservedSpecimen,15.14142375179746,33.85162521454273
Saccharina japonica var. religiosa,41.43,140.23,1988-11-11,,,,PreservedSpecimen,14.68919112189901,33.85391369211591
Saccharina japonica var. religiosa,41.68,140.52,1988-04-07,,,,PreservedSpecimen,14.449883274797827,33.850444363657076
Saccharina japonica var. religiosa,41.55,140.43,1988-11-12,,,,PreservedSpecimen,14.430079747440947,33.851232836933846
Saccharina japonica var. japonica,41.68,140.52,1988-04-07,,,,PreservedSpecimen,14.449883274797827,33.850444363657076
Saccharina japonica var. japonica,41.42,140.12,1988-07-26,,,,PreservedSpecimen,14.755709035367472,33.85498019570498
Saccharina japonica var. japonica,41.35,139.8,1988-08-23,,,,PreservedSpecimen,15.14142375179746,33.85162521454273
Costaria costata,41.47,140.02,1988-05-15,,,,PreservedSpecimen,14.053954559419472,33.86837035322505
Costaria costata,41.55,140.43,1988-04-08,,,,PreservedSpecimen,14.430079747440947,33.851232836933846
Undaria pinnatifida f. pinnatifida,41.47,140.02,1989-05-04,,,,PreservedSpecimen,14.053954559419472,33.86837035322505
Undaria pinnatifida f. pinnatifida,41.68,140.52,1989-05-08,,,,PreservedSpecimen,14.449883274797827,33.850444363657076
Undaria pinnatifida f. pinnatifida,41.35,139.8,1988-08-23,,,,PreservedSpecimen,15.14142375179746,33.85162521454273
Undaria pinnatifida f. pinnatifida,38.32,141.1,1957-05-31,,,,PreservedSpecimen,14.983701431316616,32.986720650887484
Saccharina angustata,42.3,140.95,1953-07-28,,,,PreservedSpecimen,11.633231854472223,32.717154876014405
